app_id,prompt,n_elements,spacing_md,overlap_md,color_contrast,focusable_ratio,labelled_ratio
12740,instruction,28,0.5925925925925926,0.0,0.6393066224497778,1.0,0.0
12740,pd_zs,27,0.5769230769230769,0.0,0.48347534585886215,1.0,0.0
12740,pd_fs,25,0.625,0.0,0.3361069982105986,1.0,0.0
12740,ref_instruction,27,0.6923076923076923,0.0,0.49234726885931573,1.0,1.0
14283,instruction,26,0.28,0.0,0.5909776325454306,1.0,0.0
14283,pd_zs,29,0.5357142857142857,0.0,0.31442000403662534,1.0,0.0
14283,pd_fs,16,0.4,0.0,0.7010770234994187,1.0,0.0
14283,ref_instruction,29,0.6071428571428571,0.0,0.28332260398904224,1.0,0.0
18782,instruction,89,0.5227272727272727,0.0,0.1585697808854814,,
18782,pd_zs,101,0.39,0.0,0.06536210938704641,0.0,0.0
18782,pd_fs,69,0.2647058823529412,0.0,0.7664760481471472,1.0,0.0
18782,ref_instruction,95,0.5319148936170213,0.0,0.20389351233412575,1.0,0.0
20947,instruction,26,0.56,0.0,0.3943365833883164,1.0,0.0
20947,pd_zs,30,0.41379310344827586,0.0,0.5035054047313843,1.0,0.0
20947,pd_fs,30,0.41379310344827586,0.0,0.5755053140758865,1.0,0.0
20947,ref_instruction,44,0.6511627906976745,0.0,0.2137376500649704,0.75,0.25
22151,instruction,48,0.1276595744680851,0.0,0.37372094283962703,1.0,0.0
22151,pd_zs,82,0.4074074074074074,0.0,0.26755581465737277,1.0,1.0
22151,pd_fs,79,0.47435897435897434,0.0,0.7972835851100202,1.0,0.0
22151,ref_instruction,83,0.5121951219512195,0.0,0.20414157605483102,1.0,0.0
27360,instruction,54,0.32075471698113206,0.0,0.2963869453111496,1.0,0.0
27360,pd_zs,64,0.5555555555555556,0.0,0.25798523303214127,1.0,0.0
27360,pd_fs,43,0.40476190476190477,0.0,0.7356536442264187,1.0,0.0
27360,ref_instruction,76,0.4666666666666667,0.0,0.2947611477457027,,
27382,instruction,42,0.3170731707317073,0.0,0.49529991434224885,1.0,0.0
27382,pd_zs,40,0.28205128205128205,0.0,0.1993513007695651,1.0,0.0
27382,pd_fs,49,0.3125,0.0,0.20589115461924462,1.0,0.0
27382,ref_instruction,40,0.48717948717948717,0.0,0.31346907047214917,1.0,0.0
27707,instruction,59,0.7931034482758621,0.0,0.8173019391270793,1.0,0.0
27707,pd_zs,105,0.8173076923076923,0.0,0.4850949036933128,1.0,0.0
27707,pd_fs,56,0.8181818181818182,0.0,0.30837865043974405,1.0,0.0
27707,ref_instruction,102,0.801980198019802,0.0,0.47517576063962635,1.0,1.0
30982,instruction,53,0.34615384615384615,0.0,0.4142246898415546,1.0,0.0
30982,pd_zs,41,0.375,0.0,0.44680568951191885,1.0,0.0
30982,pd_fs,60,0.5254237288135594,0.0,0.7846900414489271,1.0,0.0
30982,ref_instruction,70,0.5797101449275363,0.0,0.8842838413798222,0.9333333333333333,0.7333333333333333
31390,instruction,13,0.4166666666666667,0.0,0.2147796377800294,1.0,0.0
31390,pd_zs,15,0.5714285714285714,0.0,0.1457541946040075,1.0,0.0
31390,pd_fs,11,0.3,0.0,0.21641317555992734,1.0,0.0
31390,ref_instruction,17,0.375,0.0,0.819426700059513,1.0,0.0
32310,instruction,60,0.5932203389830508,0.0,0.1491317962367453,1.0,0.0
32310,pd_zs,46,0.4,0.0,0.19539057440020774,1.0,0.6666666666666666
32310,pd_fs,44,0.23255813953488372,0.0,0.25197541346034596,1.0,0.0
32310,ref_instruction,66,0.7076923076923077,0.0,0.1710320723723546,0.3333333333333333,1.0
3261,instruction,40,0.7435897435897436,0.0,0.25131304974587776,1.0,0.0
3261,pd_zs,48,0.46808510638297873,0.0,0.34428290556991703,1.0,0.0
3261,pd_fs,39,0.5,0.0,0.6161235672455679,1.0,0.0
3261,ref_instruction,88,0.7586206896551724,0.0,0.21232924908523348,1.0,0.0
33383,instruction,19,0.3888888888888889,0.0,0.3242897230584916,1.0,0.0
33383,pd_zs,14,0.46153846153846156,0.0,0.29749987187599364,1.0,0.0
33383,pd_fs,12,0.45454545454545453,0.0,0.6307924875564391,1.0,0.0
33383,ref_instruction,18,0.4117647058823529,0.0,0.4237746669409041,1.0,0.0
34346,instruction,64,0.47619047619047616,0.0,0.2886421102284028,1.0,0.0
34346,pd_zs,68,0.5373134328358209,0.0,0.2300148917929107,1.0,0.0
34346,pd_fs,81,0.4125,0.0,0.21634688403359129,1.0,0.0
34346,ref_instruction,62,0.4918032786885246,0.0,0.8636586929075633,1.0,0.2
34517,instruction,35,0.38235294117647056,0.0,0.20057545271870886,1.0,0.0
34517,pd_zs,74,0.3424657534246575,0.0,0.15926943056572163,1.0,0.25
34517,pd_fs,37,0.5,0.0,0.32275518200986875,1.0,0.0
34517,ref_instruction,43,0.7380952380952381,0.0,0.23547694598047397,1.0,0.0
34527,instruction,38,0.6216216216216216,0.0,0.5084862719217876,1.0,0.0
34527,pd_zs,62,0.36065573770491804,0.0,0.21119311658520912,1.0,0.0
34527,pd_fs,59,0.5689655172413793,0.0,0.18686774280199736,1.0,0.0
34527,ref_instruction,48,0.5957446808510638,0.0,0.48744961013020743,0.7272727272727273,0.2727272727272727
35526,instruction,43,0.2857142857142857,0.0,0.26380215114007016,1.0,0.0
35526,pd_zs,78,0.5194805194805194,0.0,0.28419596028961364,0.8,0.2
35526,pd_fs,46,0.17777777777777778,0.0,0.6020421873928293,1.0,0.0
35526,ref_instruction,70,0.43478260869565216,0.0,0.8794759795134978,1.0,0.0
3727,instruction,28,0.3333333333333333,0.0,0.6942124381764194,1.0,1.0
3727,pd_zs,101,0.6,0.0,0.5892447951111639,1.0,0.0
3727,pd_fs,48,0.3617021276595745,0.0,0.2972670911978766,1.0,0.0
3727,ref_instruction,27,0.4230769230769231,0.0,0.3362774039184881,1.0,0.42857142857142855
37505,instruction,29,0.5,0.0,0.237734585274219,1.0,0.0
37505,pd_zs,46,0.4222222222222222,0.0,0.2851643910984769,,
37505,pd_fs,11,0.6,0.14753710937499998,0.39070846473143206,1.0,0.3333333333333333
37505,ref_instruction,64,0.5396825396825397,0.0,0.27820767442777183,1.0,0.0
38961,instruction,45,0.5,0.0,0.1745726048391666,1.0,1.0
38961,pd_zs,57,0.5714285714285714,0.0,0.14160769183219551,,
38961,pd_fs,48,0.5106382978723404,0.0,0.5663518171069284,1.0,0.1111111111111111
38961,ref_instruction,56,0.5818181818181818,0.0,0.13501963134392367,1.0,1.0
40673,instruction,16,0.4666666666666667,0.0,0.5636487969689896,1.0,0.0
40673,pd_zs,31,0.3,0.0,0.5176087429873606,1.0,0.0
40673,pd_fs,9,0.375,0.0,0.7196791629692272,1.0,0.0
40673,ref_instruction,20,0.631578947368421,0.0,0.2883019647405195,1.0,1.0
43872,instruction,54,0.37735849056603776,0.0,0.24057719684141823,,
43872,pd_zs,45,0.29545454545454547,0.0,0.19196012272187246,,
43872,pd_fs,55,0.4074074074074074,0.0,0.6007306448986311,1.0,0.0
43872,ref_instruction,81,0.5125,0.0,0.22077858198721226,,
43977,instruction,26,0.4,0.0,0.3864985216204016,1.0,0.5
43977,pd_zs,29,0.5,0.0,0.461993007236641,1.0,0.0
43977,pd_fs,26,0.44,0.0,0.4431409490766927,1.0,0.5
43977,ref_instruction,25,0.5416666666666666,0.0,0.36003659662170123,1.0,1.0
44756,instruction,58,0.3333333333333333,0.0,0.20725815878656673,1.0,1.0
44756,pd_zs,43,0.38095238095238093,0.0,0.18514710168511833,1.0,0.0
44756,pd_fs,57,0.32142857142857145,0.0,0.7710025535758791,1.0,1.0
44756,ref_instruction,69,0.4117647058823529,0.0,0.14940434657795396,,
47926,instruction,28,0.25925925925925924,0.0,0.21734361599416346,1.0,0.0
47926,pd_zs,32,0.45161290322580644,0.0,0.37195218130536645,0.8,0.8
47926,pd_fs,20,0.3684210526315789,0.10319921875000004,0.664814896503021,1.0,0.0
47926,ref_instruction,58,0.7192982456140351,0.0,0.14050717312931243,1.0,0.0
49794,instruction,64,0.4126984126984127,0.0,0.2140544449267854,,
49794,pd_zs,44,0.7209302325581395,0.0,0.24913559472470417,1.0,0.8333333333333334
49794,pd_fs,99,0.42857142857142855,0.0,0.7723775229179404,1.0,1.0
49794,ref_instruction,55,0.6481481481481481,0.0,0.21930474300293074,1.0,0.0
53054,instruction,125,0.2903225806451613,0.0,0.3974594997302691,1.0,0.0
53054,pd_zs,88,0.5402298850574713,0.0,0.24490627131036583,1.0,0.0
53054,pd_fs,64,0.2857142857142857,0.0,0.6769022850089556,1.0,0.0
53054,ref_instruction,69,0.6470588235294118,0.0,0.2395021343599524,1.0,0.0
53469,instruction,54,0.6981132075471698,0.0,0.3565384006812293,1.0,0.0
53469,pd_zs,69,0.5294117647058824,0.0,0.23207340439962607,1.0,0.0
53469,pd_fs,64,0.7619047619047619,0.0,0.6161573112142023,,
53469,ref_instruction,92,0.7912087912087912,0.0,0.24159095915541062,1.0,0.0
54377,instruction,8,0.2857142857142857,0.0,0.6191888827562494,1.0,0.0
54377,pd_zs,24,0.43478260869565216,0.0,0.5499999585899056,1.0,0.0
54377,pd_fs,28,0.6296296296296297,0.0,0.35176838236508473,1.0,0.0
54377,ref_instruction,48,0.574468085106383,0.0,0.6395450604528,1.0,0.0
54468,instruction,56,0.41818181818181815,0.0,0.21610062892413207,,
54468,pd_zs,50,0.3673469387755102,0.0,0.28193475996850603,1.0,0.0
54468,pd_fs,40,0.1794871794871795,0.0,0.6998720018701632,1.0,0.0
54468,ref_instruction,62,0.32786885245901637,0.0,0.7549963734598942,1.0,1.0
56905,instruction,44,0.6046511627906976,0.0,0.4439831349821099,1.0,0.0
56905,pd_zs,50,0.6326530612244898,0.0,0.289870886848815,1.0,0.42857142857142855
56905,pd_fs,24,0.5217391304347826,0.08866308593750005,0.40739168847999574,1.0,0.0
56905,ref_instruction,113,0.5089285714285714,0.0,0.9146512206792694,0.6153846153846154,0.38461538461538464
58124,instruction,33,0.46875,0.0,0.39710354424539823,1.0,0.0
58124,pd_zs,40,0.46153846153846156,0.0,0.4526592587997027,1.0,0.0
58124,pd_fs,34,0.36363636363636365,0.0,0.3593308624560628,1.0,0.5
58124,ref_instruction,39,0.39473684210526316,0.0,0.42183386036364157,1.0,0.5
59429,instruction,23,0.45454545454545453,0.0,0.4346049508652248,1.0,0.0
59429,pd_zs,33,0.65625,0.0,0.36284303902914855,1.0,0.0
59429,pd_fs,30,0.3448275862068966,0.0,0.6001710212888375,1.0,0.0
59429,ref_instruction,48,0.48936170212765956,0.0,0.3290642877252888,1.0,0.0
59576,instruction,43,0.21428571428571427,0.0,0.42482598863364174,,
59576,pd_zs,35,0.20588235294117646,0.0,0.3176209267574978,,
59576,pd_fs,35,0.47058823529411764,0.0,0.6007099287095251,,
59576,ref_instruction,40,0.5384615384615384,0.0,0.7253798434667954,,
61851,instruction,37,0.25,0.0,0.41514426999819626,,
61851,pd_zs,53,0.38461538461538464,0.0,0.3333117541552435,1.0,0.1111111111111111
61851,pd_fs,34,0.06060606060606061,0.0,0.7038581272774498,1.0,0.0
61851,ref_instruction,39,0.47368421052631576,0.0,0.38991747044285124,0.9166666666666666,0.08333333333333333
63575,instruction,66,0.47692307692307695,0.0,0.30160013592028745,1.0,0.0
63575,pd_zs,79,0.5769230769230769,0.0,0.3795590143626913,1.0,0.0
63575,pd_fs,75,0.47297297297297297,0.0,0.6737041605362993,1.0,0.0
63575,ref_instruction,80,0.27848101265822783,0.0,0.23370749900983084,1.0,0.0
64858,instruction,29,0.4642857142857143,0.0,0.39259306156375906,1.0,0.0
64858,pd_zs,24,0.17391304347826086,0.0,0.4208339581289576,1.0,0.0
64858,pd_fs,33,0.1875,0.0,0.6726672270014352,1.0,0.0
64858,ref_instruction,52,0.5882352941176471,0.0,0.1271668819690638,1.0,0.2
65592,instruction,89,0.2727272727272727,0.0,0.21060811254837458,1.0,0.0
65592,pd_zs,177,0.4318181818181818,0.0,0.17863516820170108,1.0,0.0
65592,pd_fs,71,0.6428571428571429,0.0,0.717022481222025,1.0,0.0
65592,ref_instruction,120,0.6302521008403361,0.0,0.1699544877403968,0.8571428571428571,0.42857142857142855
67044,instruction,28,0.5925925925925926,0.0,0.4439006870580643,1.0,0.0
67044,pd_zs,38,0.40540540540540543,0.0,0.4448800504443687,1.0,0.0
67044,pd_fs,33,0.5625,0.0,0.5662327511517603,1.0,0.0
67044,ref_instruction,41,0.7,0.0,0.7757122760391385,1.0,0.0
68368,instruction,50,0.5714285714285714,0.0,0.5590689280706161,1.0,0.0
68368,pd_zs,88,0.6896551724137931,0.0,0.11905099284624837,1.0,0.0
68368,pd_fs,81,0.5125,0.0,0.7494150570366142,1.0,0.0
68368,ref_instruction,102,0.7623762376237624,0.0,0.21163323528606434,1.0,0.0
69574,instruction,33,0.78125,0.0,0.3811981654505645,1.0,0.0
69574,pd_zs,10,0.5555555555555556,0.0,0.7483501996646269,,
69574,pd_fs,27,0.46153846153846156,0.0,0.7964925432702065,1.0,0.0
69574,ref_instruction,32,0.8387096774193549,0.0,0.36687034835856536,1.0,0.0
69587,instruction,92,0.6043956043956044,0.0,0.22976307766684545,,
69587,pd_zs,154,0.28104575163398693,0.0,0.29357946823856157,1.0,0.0
69587,pd_fs,74,0.4657534246575342,0.0,0.8302561073330871,1.0,0.0
69587,ref_instruction,100,0.3434343434343434,0.0,0.21984487265508548,1.0,0.0
70410,instruction,58,0.543859649122807,0.0,0.30024423246418325,1.0,0.0
70410,pd_zs,76,0.52,0.0,0.28085995957950044,1.0,0.0
70410,pd_fs,67,0.5757575757575758,0.0,0.48558526043831757,1.0,0.0
70410,ref_instruction,26,0.64,0.0,0.1932178755279909,1.0,0.0
8640,instruction,29,0.32142857142857145,0.0,0.35427137892773863,,
8640,pd_zs,59,0.3620689655172414,0.0,0.4253115337482236,1.0,0.0
8640,pd_fs,42,0.34146341463414637,0.0,0.43172409361959707,1.0,0.0
8640,ref_instruction,53,0.3076923076923077,0.0,0.36772483151425517,1.0,0.0
